Transmission,BodyType,Cyl,Litre,Kms,Economy,Make,Model,Badge,Colour,Year,Price,Fuel,Location,Cat,SellerId
Automatic,SUV,4,2.5,154856,11,Subaru,Forester,XT Luxury,Premium Silver,2004,7490,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-3284857
Automatic,SUV,4,2.5,114450,9.6,Subaru,Forester,X,Silver,2010,16990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-12796
Automatic,SUV,4,2.5,196000,11,Subaru,Forester,XT Luxury,Champagne Gold,2004,8500,Petrol - Premium ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3263667
Automatic,SUV,4,2,194455,,Subaru,Forester,GT,Pure White,2001,7650,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-2588403
Manual,SUV,4,2.5,195000,9.5,Subaru,Forester,XS Luxury,Metal Grey,2003,7000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3280943
Manual,SUV,4,2.5,134000,9.3,Subaru,Forester,X Luxury,White,2010,17500,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-1927301
Automatic,SUV,4,2.5,160000,9.7,Subaru,Forester,XS Luxury,Beige,2006,8200,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-2937632
Automatic,SUV,4,2.5,162000,9.6,Subaru,Forester,XS Premium,Newport Blue,2009,15000,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Private,SSE-SELLER-3278208
Automatic,SUV,4,2.5,158000,9.6,Subaru,Forester,XS,Dark Grey,2010,13000,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2946369
Manual,SUV,4,2.5,58500,10.5,Subaru,Forester,XT Premium,Satin White Pearl,2012,29975,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-3269829
Automatic,SUV,4,2.5,209000,9.5,Subaru,Forester,X,Premium White,2003,6600,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2861931
Automatic,SUV,4,2.5,41500,9.3,Subaru,Forester,X Luxury Edition,Obsidian Black Pearl,2012,22300,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3005061
Manual,SUV,4,2.5,148000,9.3,Subaru,Forester,XS Premium,Satin White Pearl,2010,14500,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-2421147
Automatic,SUV,4,2,142233,,Subaru,Forester,GX,Silver,2002,5600,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3071354
Manual,SUV,4,2.5,185450,9.3,Subaru,Forester,XS,White,2010,12990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-49549
Manual,SUV,4,2.5,125595,8.7,Subaru,Forester,X,White,2005,7990,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-16912
Manual,SUV,4,2.5,128232,9.6,Subaru,Forester,XS Luxury,Dark Grey,2007,11900,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-2542073
Automatic,SUV,4,2.5,115580,9.7,Subaru,Forester,X Weekender,Pure White,2006,10990,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3248374
Manual,SUV,4,2,191477,,Subaru,Forester,Limited,Royal Silver,2001,5500,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3276619
Automatic,SUV,4,2.5,75164,8.1,Subaru,Forester,2.5i,White,2013,25977,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-15040
Automatic,SUV,4,2.5,12768,8.1,Subaru,Forester,2.5i-L,Silver,2014,33455,Petrol - Unleaded ULP,AUSTRALIAN CAPITAL TERRITORY,Used,AGC-SELLER-13062
Automatic,SUV,4,2.5,68887,9.6,Subaru,Forester,X,Silver,2009,19999,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-7674
Manual,SUV,4,2.5,179424,10.5,Subaru,Forester,XT Premium,Silver,2009,17990,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-52058
Automatic,SUV,4,2.5,128187,9.7,Subaru,Forester,XS,Gold,2007,12990,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-28540
Automatic,SUV,4,2.5,42425,8.1,Subaru,Forester,2.5i,Ice Silver,2013,23990,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3325454
Manual,SUV,4,2.5,157000,11.2,Subaru,Forester,XT,Premium White,2004,10000,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-2990705
Automatic,SUV,4,2.5,208474,9.5,Subaru,Forester,XS,Maroon/Burgundy,2002,5900,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3302310
Manual,SUV,4,2,227061,,Subaru,Forester,Limited,Aspen White,1998,3450,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3183184
Automatic,SUV,4,2.5,88000,9.3,Subaru,Forester,X Luxury Edition,Satin White Pearl,2012,21000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3322894
Automatic,SUV,4,2,250248,,Subaru,Forester,GT,Black Mica,2002,6500,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-1621725
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT Premium,Black,2016,53615,Petrol - Premium ULP,WESTERN AUSTRALIA,BNCIS,AGC-SELLER-15108
Manual,SUV,4,2.5,169000,9.6,Subaru,Forester,X,Maroon/Burgundy,2005,7500,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3262244
Automatic,SUV,4,2,14000,6.3,Subaru,Forester,2.0D-L,White,2015,35600,Diesel,VICTORIA,Private,SSE-SELLER-556838
Manual,SUV,4,2,127000,6.4,Subaru,Forester,2.0D,Beige,2010,16000,Diesel,NEW SOUTH WALES,Private,SSE-SELLER-3206365
Automatic,SUV,4,2.5,140093,8.8,Subaru,Forester,X,Blue,2005,12990,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-18589
Manual,SUV,4,2.5,199489,9.6,Subaru,Forester,X,Blue,2007,7990,Petrol - Unleaded ULP,TASMANIA,Used,AGC-SELLER-15254
Automatic,SUV,4,2.5,94095,9.3,Subaru,Forester,X,White,2011,18500,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-10288
Automatic,SUV,4,2.5,198000,8.8,Subaru,Forester,XS,Premium Silver,2004,8500,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3214504
Manual,SUV,4,2.5,165000,9.3,Subaru,Forester,XS,Satin White Pearl,2009,11000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-1427730
Automatic,SUV,4,2.5,299505,9.3,Subaru,Forester,X,White,2012,13560,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-18256
Automatic,SUV,4,2.5,131838,9.6,Subaru,Forester,X,Grey,2010,12560,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-18256
Manual,SUV,4,2.5,229000,9.6,Subaru,Forester,X,Silver,2006,7900,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-10936
Manual,SUV,4,2,45000,5.9,Subaru,Forester,2.0D-S,Crystal Black Silica,2013,32000,Diesel,NEW SOUTH WALES,Private,SSE-SELLER-2223116
Automatic,SUV,4,2.5,110123,9.6,Subaru,Forester,X,White,2009,14995,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-17667
Automatic,SUV,4,2.5,92060,9.6,Subaru,Forester,XS,Black,2009,17990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-17315
Automatic,SUV,4,2.5,145000,9.6,Subaru,Forester,XS,Silver,2009,14500,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3127965
Automatic,SUV,4,2.5,26591,8.1,Subaru,Forester,2.5i-S,Silver,2013,32999,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-7674
Manual,SUV,4,2.5,222000,9.6,Subaru,Forester,XS,White,2006,6990,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-18434
Automatic,SUV,4,2.5,70000,10.5,Subaru,Forester,XT Premium,Satin White Pearl,2011,25900,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-3082936
Automatic,SUV,4,2.5,81191,9.6,Subaru,Forester,XS Premium,Steel Silver,2009,18500,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3287586
Automatic,SUV,4,2.5,201900,9.5,Subaru,Forester,XS Luxury,Silver,2003,6299,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3093058
