Transmission,BodyType,Cyl,Litre,Kms,Economy,Make,Model,Badge,Colour,Year,Price,Fuel,Location,Cat,SellerId
Manual,SUV,4,2,67169,6,Subaru,Forester,2.0D,Silver,2011,26888,Diesel,VICTORIA,Used,AGC-SELLER-16890
Automatic,SUV,4,2.5,11000,8.1,Subaru,Forester,2.5i-L,Ice Silver,2015,30999,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2347077
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-L,Blue,2015,36844,Petrol - Unleaded ULP,NORTHERN TERRITORY,BNCIS,AGC-SELLER-51471
Automatic,SUV,4,2.5,81000,9.6,Subaru,Forester,XS Premium,Newport Blue,2009,17100,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3267502
Automatic,SUV,4,2,9398,8.5,Subaru,Forester,XT Premium,Black,2015,44888,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-10988
Manual,SUV,4,2,0,5.9,Subaru,Forester,2.0D-L,White,2016,37184,Diesel,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-18615
Automatic,SUV,4,2.5,1502,8.1,Subaru,Forester,2.5i-S,Silver,2015,39990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-15108
Automatic,SUV,4,2,12,8.5,Subaru,Forester,XT Premium,Red,2015,46785,Petrol - Premium ULP,QUEENSLAND,Demo,AGC-SELLER-29334
Automatic,SUV,4,2.5,91059,9.6,Subaru,Forester,X,White,2008,14988,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-10934
Automatic,SUV,4,2.5,11018,8.1,Subaru,Forester,2.5i-L,Bronze,2015,34990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-12886
Automatic,SUV,4,2.5,81966,9.7,Subaru,Forester,XS,Blue,2008,18880,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-2846
Automatic,SUV,4,2.5,108677,8.1,Subaru,Forester,2.5i,White,2013,25990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-16437
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-S,Black,2016,43490,Petrol - Unleaded ULP,VICTORIA,BNCIS,AGC-SELLER-9452
Automatic,SUV,4,2.5,2166,8.1,Subaru,Forester,2.5i-S,Red,2015,40888,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-17810
Manual,SUV,4,2,1582,5.9,Subaru,Forester,2.0D-S,Silver,2015,39888,Diesel,SOUTH AUSTRALIA,Demo,AGC-SELLER-12320
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT Premium,White,2015,53615,Petrol - Premium ULP,WESTERN AUSTRALIA,BNCIS,AGC-SELLER-17810
Automatic,SUV,4,2.5,5,8.1,Subaru,Forester,2.5i-S,Bronze,2016,43005,Petrol - Unleaded ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-12320
Automatic,SUV,4,2,1854,6.4,Subaru,Forester,2.0D-S,White,2016,43990,Diesel,WESTERN AUSTRALIA,Demo,AGC-SELLER-17810
Automatic,SUV,4,2.5,58417,9.3,Subaru,Forester,X,Sky Blue,2011,18900,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Private,SSE-SELLER-3287336
Manual,SUV,4,2.5,128785,9.3,Subaru,Forester,XS Premium,Obsidian Black Pearl,2010,18000,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2364662
Manual,SUV,4,2.5,117785,9.3,Subaru,Forester,X,Silver,2009,16456,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-8840
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT,Silver,2015,44490,Petrol - Premium ULP,VICTORIA,BNCIS,AGC-SELLER-9298
Automatic,SUV,4,2,6,6.4,Subaru,Forester,2.0D-S,White,2016,45085,Diesel,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-12320
Manual,SUV,4,2,0,5.9,Subaru,Forester,2.0D-S,White,2016,42490,Diesel,NEW SOUTH WALES,BNCIS,AGC-SELLER-9592
Automatic,SUV,4,2.5,51789,9.3,Subaru,Forester,X Luxury Edition,Maroon/Burgundy,2012,22000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3320007
Automatic,SUV,4,2.5,39268,9.3,Subaru,Forester,X Luxury Edition,,2012,21990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-94
Automatic,SUV,4,2.5,92488,10.5,Subaru,Forester,XT,Black,2012,23990,Petrol - Premium ULP,AUSTRALIAN CAPITAL TERRITORY,Used,AGC-SELLER-29992
Automatic,SUV,4,2.5,114608,9.3,Subaru,Forester,X,Blue,2011,15988,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-10934
Automatic,SUV,4,2.5,8,8.1,Subaru,Forester,2.5i-L,Grey,2016,36890,Petrol - Unleaded ULP,QUEENSLAND,BNCIS,AGC-SELLER-47124
Automatic,SUV,4,2.5,89261,9.3,Subaru,Forester,XS,Silver,2011,21990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-18590
Automatic,SUV,4,2.5,152843,9.7,Subaru,Forester,XS,Red,2006,9989,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-10576
Automatic,SUV,4,2.5,9,8.1,Subaru,Forester,2.5i-L,White,2016,36245,Petrol - Unleaded ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-12320
Automatic,SUV,4,2.5,180821,9.6,Subaru,Forester,XS,Silver,2010,13499,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-17245
Automatic,SUV,4,2.5,115000,8.8,Subaru,Forester,X,Premium Silver,2004,10500,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2853871
Manual,SUV,4,2.5,194381,9.6,Subaru,Forester,X Luxury,Newport Blue,2007,7990,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-339851
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT Premium,White,2015,53985,Petrol - Premium ULP,WESTERN AUSTRALIA,BNCIS,AGC-SELLER-15131
Automatic,SUV,4,2.5,2245,8.1,Subaru,Forester,2.5i-L,Blue,2015,37490,Petrol - Unleaded ULP,NEW SOUTH WALES,Demo,AGC-SELLER-14865
Automatic,SUV,4,2,55539,8.5,Subaru,Forester,XT,Grey,2014,36888,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-17950
Automatic,SUV,4,2.5,59700,10.5,Subaru,Forester,XT Premium,Spark Silver,2010,24000,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-3301714
Automatic,SUV,4,2.5,72450,9.6,Subaru,Forester,X,Red,2010,19990,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-256
Automatic,SUV,4,2.5,2479,8.1,Subaru,Forester,2.5i-L,Silver,2015,35990,Petrol - Unleaded ULP,VICTORIA,Demo,AGC-SELLER-9453
Manual,SUV,4,2,56564,7.2,Subaru,Forester,2.0i-L,Ice Silver,2013,28000,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3255084
Automatic,SUV,4,2.5,55885,8.1,Subaru,Forester,2.5i-L,White,2013,27969,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-259
Automatic,SUV,4,2.5,154625,9.6,Subaru,Forester,XS Premium,Grey,2008,16990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-9452
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT,White,2015,46120,Petrol - Premium ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-15131
Automatic,SUV,4,2.5,56095,8.1,Subaru,Forester,2.5i,Red,2013,26987,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-19
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-S,Blue,2015,41490,Petrol - Unleaded ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-49365
Manual,SUV,4,2,46801,5.9,Subaru,Forester,2.0D-S,Satin White Pearl,2014,34990,Diesel,VICTORIA,Private,SSE-SELLER-2995195
Manual,SUV,4,2,81959,6,Subaru,Forester,2.0D Premium,Dark Grey,2012,25299,Diesel,QUEENSLAND,Private,SSE-SELLER-3319206
Manual,SUV,4,2.5,110468,10.5,Subaru,Forester,XT Premium,Grey,2008,24990,Petrol - Premium ULP,VICTORIA,Used,AGC-SELLER-9452
Automatic,SUV,4,2.5,10,8.1,Subaru,Forester,2.5i-L,Silver,2016,35990,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-14865
Automatic,SUV,4,2.5,141800,9.6,Subaru,Forester,X,Satin White Pearl,2010,14990,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-2211710
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT,Black,2015,43566,Petrol - Premium ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-49365
Automatic,SUV,4,2,31070,8.5,Subaru,Forester,XT Premium,Grey,2014,36990,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-8840
Automatic,SUV,4,2,1500,6.3,Subaru,Forester,2.0D-L,Silver,2015,34850,Diesel,SOUTH AUSTRALIA,Demo,AGC-SELLER-16127
Manual,SUV,4,2.5,182589,8.7,Subaru,Forester,X,Burgundy,2005,8990,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-9593
Automatic,SUV,4,2,10,8.5,Subaru,Forester,XT Premium,Silver,2016,51990,Petrol - Premium ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-14865
Automatic,SUV,4,2.5,1502,8.1,Subaru,Forester,2.5i-L,Bronze,2016,33990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-29799
Automatic,SUV,4,2,1854,8.5,Subaru,Forester,XT Premium,Grey,2015,48888,Petrol - Premium ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-17810
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-S,Silver,2016,41888,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-15820
Automatic,SUV,4,2.5,95191,9.3,Subaru,Forester,XS,Grey,2011,20990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-18136
Automatic,SUV,4,2.5,2362,8.1,Subaru,Forester,2.5i-L,Grey,2015,35990,Petrol - Unleaded ULP,VICTORIA,BNCIS,AGC-SELLER-9453
Automatic,SUV,4,2.5,82271,9.3,Subaru,Forester,X Luxury Edition,Grey,2012,22488,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-17898
Automatic,SUV,4,2.5,8,8.1,Subaru,Forester,2.5i-L,Silver,2016,34990,Petrol - Unleaded ULP,QUEENSLAND,BNCIS,AGC-SELLER-29334
Automatic,SUV,4,2.5,10,8.1,Subaru,Forester,2.5i-L,White,2016,34490,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-88
Manual,SUV,4,2.5,247723,9.6,Subaru,Forester,XS,Obsidian Black Pearl,2007,7990,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3145115
Automatic,SUV,4,2.5,90914,9.3,Subaru,Forester,X,White,2012,21888,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-1245
Automatic,SUV,4,2.5,97719,9.3,Subaru,Forester,XS,White,2011,19980,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-10383
Automatic,SUV,4,2,159,8.5,Subaru,Forester,XT Premium,White,2015,52390,Petrol - Premium ULP,VICTORIA,BNCIS,AGC-SELLER-12886
Automatic,SUV,4,2.5,74288,8.1,Subaru,Forester,2.5i,Silver,2013,26990,Petrol - Unleaded ULP,TASMANIA,Used,AGC-SELLER-6869
Automatic,SUV,4,2,0,6.4,Subaru,Forester,2.0D-S,White,2016,44990,Diesel,VICTORIA,BNCIS,AGC-SELLER-17753
Automatic,SUV,4,2,1560,8.5,Subaru,Forester,XT,Silver,2015,39990,Petrol - Premium ULP,NEW SOUTH WALES,Demo,AGC-SELLER-17353
Automatic,SUV,4,2.5,81000,9.6,Subaru,Forester,XS Premium,Newport Blue,2009,17100,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3267502
Automatic,SUV,4,2.5,196806,9.6,Subaru,Forester,X,White,2010,13988,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-10934
Automatic,SUV,4,2.5,7,8.1,Subaru,Forester,2.5i-L,Grey,2016,34990,Petrol - Unleaded ULP,QUEENSLAND,BNCIS,AGC-SELLER-29334
Automatic,SUV,4,2.5,4009,8.1,Subaru,Forester,2.5i-L Special Edition,White,2015,38000,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-10988
Automatic,SUV,4,2.5,54755,8.1,Subaru,Forester,2.5i,Silver,2012,25990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-117
Manual,SUV,4,2.5,119742,11.2,Subaru,Forester,XT,Black,2005,11888,Petrol - Premium ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-133
Automatic,SUV,4,2.5,152,8.1,Subaru,Forester,2.5i-S,Red,2016,42490,Petrol - Unleaded ULP,VICTORIA,Demo,AGC-SELLER-9452
Manual,SUV,4,2,10,7.2,Subaru,Forester,2.0i-L,White,2015,33490,Petrol - Unleaded ULP,QUEENSLAND,BNCIS,AGC-SELLER-10346
Automatic,SUV,4,2,0,6.4,Subaru,Forester,2.0D-S,White,2016,45990,Diesel,QUEENSLAND,BNCIS,AGC-SELLER-14995
Manual,SUV,4,2.5,172135,9.5,Subaru,Forester,XS,White,2002,8999,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-18593
Automatic,SUV,4,2,1537,8.5,Subaru,Forester,XT Premium,White,2015,47977,Petrol - Premium ULP,SOUTH AUSTRALIA,Demo,AGC-SELLER-17872
Automatic,SUV,4,2.5,164795,11.1,Subaru,Forester,XT,Red,2006,14990,Petrol - Premium ULP,VICTORIA,Used,AGC-SELLER-9452
Automatic,SUV,4,2.5,114000,9.6,Subaru,Forester,X,Dark Grey,2009,13750,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-509253
Automatic,SUV,4,2,0,6.3,Subaru,Forester,2.0D-L,Silver,2015,38990,Diesel,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-16169
Manual,SUV,4,2,122791,6.4,Subaru,Forester,2.0D,Silver,2010,19990,Diesel,QUEENSLAND,Used,AGC-SELLER-7811
Automatic,SUV,4,2.5,65500,9.3,Subaru,Forester,XS Premium,Blue,2012,24990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-1504666
Automatic,SUV,4,2.5,36222,9.3,Subaru,Forester,X Luxury Edition,Grey,2012,21990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-49344
Automatic,SUV,4,2.5,53330,8.1,Subaru,Forester,2.5i-S,Grey,2013,30500,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-11430
Automatic,SUV,4,2.5,6,8.1,Subaru,Forester,2.5i-S,Silver,2016,43005,Petrol - Unleaded ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-12320
Automatic,SUV,4,2.5,55940,9.3,Subaru,Forester,XS,Silver,2011,22990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-19
Automatic,SUV,4,2,16,6.4,Subaru,Forester,2.0D-S,Silver,2015,43896,Diesel,NEW SOUTH WALES,BNCIS,AGC-SELLER-51277
Automatic,SUV,4,2.5,93426,10.5,Subaru,Forester,XT,Satin White Pearl,2011,20000,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-3248244
Manual,SUV,4,2.5,123408,9.6,Subaru,Forester,XS Luxury,Steel Silver,2007,12900,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3285689
Automatic,SUV,4,2,0,8.5,Subaru,Forester,XT,Silver,2015,46120,Petrol - Premium ULP,WESTERN AUSTRALIA,BNCIS,AGC-SELLER-15131
Manual,SUV,4,2.5,68188,9.3,Subaru,Forester,X,White,2010,17888,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-17261
Automatic,SUV,4,2.5,135000,10.5,Subaru,Forester,S-EDITION,Grey,2011,21600,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-867618
Automatic,SUV,4,2,1584,8.5,Subaru,Forester,XT Premium,White,2016,49999,Petrol - Premium ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-17810
Automatic,SUV,4,2.5,118000,10.5,Subaru,Forester,XT,Dark Grey,2009,17000,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-2665972
Automatic,SUV,4,2.5,6200,8.1,Subaru,Forester,2.5i-L,Silver,2015,33990,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-88
Automatic,SUV,4,2.5,140215,9.7,Subaru,Forester,X,White,2007,9998,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-11056
Manual,SUV,4,2,65751,6.4,Subaru,Forester,2.0D,Silver,2011,24588,Diesel,WESTERN AUSTRALIA,Used,AGC-SELLER-10934
Automatic,SUV,4,2.5,95185,9.3,Subaru,Forester,XS,White,2012,20888,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-18615
Automatic,SUV,4,2.5,60488,9.6,Subaru,Forester,XS Premium,Silver,2009,19488,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-28947
Automatic,SUV,4,2,400,6.3,Subaru,Forester,2.0D-L,Grey,2015,35990,Diesel,QUEENSLAND,BNCIS,AGC-SELLER-29824
Automatic,SUV,4,2.5,143000,10.5,Subaru,Forester,XT Premium,Dark Grey,2010,19900,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-2111305
Manual,SUV,4,2,114998,6.4,Subaru,Forester,2.0D,Grey,2010,17990,Diesel,NEW SOUTH WALES,Used,AGC-SELLER-15744
Automatic,SUV,4,2.5,56917,8.1,Subaru,Forester,2.5i-L,Silver,2013,28982,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-10366
Automatic,SUV,4,2.5,1501,8.1,Subaru,Forester,2.5i-L,White,2016,33990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-14846
Manual,SUV,4,2,91278,6,Subaru,Forester,2.0D,Red,2012,23490,Diesel,VICTORIA,Used,AGC-SELLER-51080
Automatic,SUV,4,2,45738,8.5,Subaru,Forester,XT Premium,Grey,2013,37990,Petrol - Premium ULP,VICTORIA,Used,AGC-SELLER-97
Automatic,SUV,4,2.5,55983,8.1,Subaru,Forester,2.5i,Red,2014,28990,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-17950
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-L,Blue,2015,36844,Petrol - Unleaded ULP,NORTHERN TERRITORY,BNCIS,AGC-SELLER-51471
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-L,Grey,2015,36800,Petrol - Unleaded ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-16169
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-L,Blue,2016,35990,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-14865
Automatic,SUV,4,2.5,83000,9.3,Subaru,Forester,XS,Silver,2011,19500,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-28659
Automatic,SUV,4,2,4700,8.5,Subaru,Forester,XT Premium,Silver,2015,46990,Petrol - Premium ULP,TASMANIA,Demo,AGC-SELLER-8799
Manual,SUV,4,2.5,135000,11.4,Subaru,Forester,XT,Obsidian Black Pearl,2006,24000,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-821179
Automatic,SUV,4,2.5,3,8.1,Subaru,Forester,2.5i-L,Grey,2016,36245,Petrol - Unleaded ULP,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-12320
Automatic,SUV,4,2.5,61015,8.1,Subaru,Forester,2.5i,Blue,2013,26990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-117
Manual,SUV,4,2.5,67800,9.3,Subaru,Forester,X,Steel Silver Metallic,2010,16900,Petrol - Unleaded ULP,AUSTRALIAN CAPITAL TERRITORY,Private,SSE-SELLER-1049701
Automatic,SUV,4,2,10,8.5,Subaru,Forester,XT Premium,Silver,2015,47890,Petrol - Premium ULP,QUEENSLAND,BNCIS,AGC-SELLER-10346
Automatic,SUV,4,2.5,129581,9.3,Subaru,Forester,XS Premium,Grey,2012,21880,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-138
Automatic,SUV,4,2.5,2473,8.1,Subaru,Forester,2.5i-L,Black,2015,35000,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-10988
Manual,SUV,4,2,8,7.2,Subaru,Forester,2.0i-L,Grey,2015,32998,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-51277
Manual,SUV,4,2,72561,6.4,Subaru,Forester,2.0D,Grey,2011,22990,Diesel,WESTERN AUSTRALIA,Used,AGC-SELLER-51075
Automatic,SUV,4,2.5,11000,8.1,Subaru,Forester,2.5i-L,Ice Silver,2015,30999,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2347077
Manual,SUV,4,2.5,98200,9.3,Subaru,Forester,XS Premium,Grey,2011,17958,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-15717
Automatic,SUV,4,2.5,120018,9.7,Subaru,Forester,X,Blue,2007,14490,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-49231
Automatic,SUV,4,2,0,6.4,Subaru,Forester,2.0D-S,Silver,2015,41888,Diesel,QUEENSLAND,BNCIS,AGC-SELLER-29824
Automatic,SUV,4,2.5,179211,9.6,Subaru,Forester,X Columbia,Silver,2010,10990,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-50321
Automatic,SUV,4,2,9398,8.5,Subaru,Forester,XT Premium,Black,2015,44888,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-10988
Automatic,SUV,4,2.5,34507,9.3,Subaru,Forester,X,Silver,2011,18990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-49344
Automatic,SUV,4,2.5,95500,11,Subaru,Forester,XT,Regal Blue,2005,18500,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-2131698
Manual,SUV,4,2.5,116363,9.6,Subaru,Forester,X,Regal Blue,2006,10500,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3137611
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-L,Black,2016,35990,Petrol - Unleaded ULP,NEW SOUTH WALES,BNCIS,AGC-SELLER-14865
Automatic,SUV,4,2.5,35000,8.1,Subaru,Forester,2.5i-L,Satin White Pearl,2014,29990,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2193234
Automatic,SUV,4,2.5,197309,9.3,Subaru,Forester,X,Satin White Pearl,2012,13920,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-741050
Automatic,SUV,4,2,2556,8.5,Subaru,Forester,XT Premium,Blue,2015,48990,Petrol - Premium ULP,QUEENSLAND,Demo,AGC-SELLER-47124
Automatic,SUV,4,2.5,70315,9.6,Subaru,Forester,XS,Silver,2009,18990,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Used,AGC-SELLER-49344
Automatic,SUV,4,2.5,158,8.1,Subaru,Forester,2.5i-S,Blue,2016,41750,Petrol - Unleaded ULP,NEW SOUTH WALES,Demo,AGC-SELLER-9592
Manual,SUV,4,2.5,179658,9.6,Subaru,Forester,XS,Silver,2006,7999,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-28591
Automatic,SUV,4,2,158400,,Subaru,Forester,Limited,Black Pearl,1999,4900,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3317423
Manual,SUV,4,2.5,155000,10.5,Subaru,Forester,XT Premium,Spark Silver,2009,20000,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-2765093
Automatic,SUV,4,2.5,149500,9.7,Subaru,Forester,XS,Pure White,2005,9500,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-2224562
Automatic,SUV,4,2.5,46000,10.5,Subaru,Forester,XT,Ice Silver,2012,28500,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-1293910
Automatic,SUV,4,2.5,142000,9.6,Subaru,Forester,XS Premium,Spark Silver,2009,15500,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3276839
Automatic,SUV,4,2.5,201000,8.8,Subaru,Forester,XS,Champagne Gold,2005,8900,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-2430048
Automatic,SUV,4,2.5,72544,9.6,Subaru,Forester,X,Dark Grey,2010,20999,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2089016
Automatic,SUV,4,2.5,63000,9.5,Subaru,Forester,X,Pure White,2003,10500,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3280154
Manual,SUV,4,2.5,73445,10.5,Subaru,Forester,XT,Satin White Pearl,2012,26000,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-3200871
Manual,SUV,4,2.5,137000,9.3,Subaru,Forester,X,Satin White Pearl,2008,14350,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3324772
Automatic,SUV,4,2.5,17699,8.1,Subaru,Forester,2.5i,Crystal Black Silica,2014,25900,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3256364
Manual,SUV,4,2.5,116159,11.2,Subaru,Forester,XT Luxury,Premium White,2005,14800,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-2952434
Manual,SUV,4,2,75000,,Subaru,Forester,GT,Light Silver,1999,10900,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-2171326
Automatic,SUV,4,2.5,127500,9.7,Subaru,Forester,X,Pure White,2007,11000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3291202
Automatic,SUV,4,2.5,137949,9.3,Subaru,Forester,XS,White,2011,19999,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-12374
Manual,SUV,4,2,71500,5.9,Subaru,Forester,2.0D,Dark Grey,2012,25000,Diesel,NEW SOUTH WALES,Private,SSE-SELLER-3250544
Manual,SUV,4,2,225151,,Subaru,Forester,GT,Black,1999,9999,Petrol - Premium ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3098249
Automatic,SUV,4,2.5,86469,9.3,Subaru,Forester,XS,Dark Grey,2011,18750,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3313902
Automatic,SUV,4,2.5,95500,9.6,Subaru,Forester,X,Dark Grey,2009,14900,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-353538
Automatic,SUV,4,2.5,80000,8.1,Subaru,Forester,2.5i,Dark Grey,2013,21500,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3263415
